node_type,pattern,attack_information_ratio,defense_budget,T_opt,n_runs,infection_rate,activation_rate,detection_rate,PAS_at_T_opt,PS_at_T_opt,EP_max,mean_active_infectious,mean_exposed,mean_detected,mean_affected_power_nodes,mean_affected_capacity,RT,RI,RE
CYBER_PHYSICS_OVERLAP,DDDC,1.0,40,300,40,0.01,0.15,1e-05,0.3542959729932469,0.875,0.310008976369091,56.35,2.025,0.125,51.725,2726.0649999999996,7.093890735483846,0.8020880393448507,0.4612171621476807
CYBER_PHYSICS_OVERLAP,DDDC,1.0,60,300,40,0.01,0.15,1e-05,0.2396002826229789,0.95,0.2276202684918299,37.375,1.75,0.05,35.2,1923.655,4.785684465443067,0.893588235510365,0.4752498233606381
CYBER_PHYSICS_OVERLAP,DDDC,1.0,100,300,40,0.01,0.15,1e-05,0.0891077577372227,0.95,0.0846523698503616,13.1,0.425,0.05,12.45,795.33,2.158400850583896,0.9805354526177876,0.4554461211313886
CYBER_PHYSICS_OVERLAP,RC,0.25,20,300,40,0.01,0.15,1e-05,0.5040928964398766,0.9,0.453683606795889,71.4,2.375,0.1,65.65,3717.405,10.376127873781709,0.6903396173140801,0.4132559196334361
CYBER_PHYSICS_OVERLAP,RC,0.25,40,300,40,0.01,0.15,1e-05,0.3915185290273655,0.95,0.3719426025759972,56.55,1.875,0.05,54.575,2674.96,7.734118699270686,0.7833472785996298,0.4346296221233103
CYBER_PHYSICS_OVERLAP,RC,0.25,60,300,40,0.01,0.15,1e-05,0.1840427977627066,1.0,0.1840427977627066,25.5,1.125,0.0,25.5,1407.6,3.907876204650764,0.9211183036056566,0.5099732513983083
CYBER_PHYSICS_OVERLAP,RC,0.25,100,300,40,0.01,0.15,1e-05,0.0713821929651996,1.0,0.0713821929651996,10.05,0.575,0.0,10.05,524.4449999999999,1.9279685085475955,0.990871990536448,0.4643089035174002
CYBER_PHYSICS_OVERLAP,RC,0.5,20,300,40,0.01,0.15,1e-05,0.4762842697968,0.9,0.42865584281712,68.25,2.7,0.1,62.75,3478.55,9.858887418220483,0.70841522463208,0.4364297751693332
CYBER_PHYSICS_OVERLAP,RC,0.5,40,300,40,0.01,0.15,1e-05,0.3904365715705254,0.925,0.3611538287027361,56.925,2.15,0.075,54.15,2583.88,7.715509031013037,0.7824463517668123,0.4354024488781961
CYBER_PHYSICS_OVERLAP,RC,0.5,60,300,40,0.01,0.15,1e-05,0.2080115569092969,0.95,0.197610979063832,28.8,1.8,0.05,28.15,1625.495,4.28658259916689,0.911301262582129,0.4949927769316893
